# quantbench — 2026-06-02 22:56:47
# go go1.25.0, 4 cores, 6 images
# metric scale: MSE lower=better, PSNR higher=better, dE2000 lower=better

== N = 4 ==
quantizer             MSE     PSNR    meanDE     p95DE   image
popularity       18741.26     5.40    45.757    81.749   athens.jpg
popularity        5497.70    10.73    20.815    71.743   liberty.jpg
popularity         292.48    23.47     8.762    18.588   monet.jpg
popularity        1864.90    15.42    15.321    32.795   napoleon.jpg
popularity        4513.95    11.59    16.597    60.755   pearl.jpg
popularity        6888.51     9.75    27.249    54.265   starry.jpg
popularity*       6299.80    12.73    22.417    53.316   [MEAN over 6, 1140ms]

median-cut         415.77    21.94     7.762    17.916   athens.jpg
median-cut         581.64    20.48     8.478    20.054   liberty.jpg
median-cut         114.12    27.56     6.350    12.818   monet.jpg
median-cut         345.99    22.74     7.845    15.299   napoleon.jpg
median-cut         450.93    21.59     6.890    19.341   pearl.jpg
median-cut         420.08    21.90    10.415    21.308   starry.jpg
median-cut*        388.09    22.70     7.957    17.789   [MEAN over 6, 1209ms]

divisive/axisaligned/rgb     418.17    21.92     7.786    17.874   athens.jpg
divisive/axisaligned/rgb     328.33    22.97     7.478    17.241   liberty.jpg
divisive/axisaligned/rgb     114.07    27.56     6.369    12.514   monet.jpg
divisive/axisaligned/rgb     342.04    22.79     7.803    15.239   napoleon.jpg
divisive/axisaligned/rgb     280.03    23.66     6.515    16.637   pearl.jpg
divisive/axisaligned/rgb     419.64    21.90    10.419    21.269   starry.jpg
divisive/axisaligned/rgb*     317.05    23.47     7.728    16.796   [MEAN over 6, 1383ms]

divisive/pca/rgb     399.40    22.12     7.541    17.672   athens.jpg
divisive/pca/rgb     322.59    23.04     7.319    16.472   liberty.jpg
divisive/pca/rgb     111.87    27.64     5.966    11.309   monet.jpg
divisive/pca/rgb     289.11    23.52     7.020    13.746   napoleon.jpg
divisive/pca/rgb     274.36    23.75     6.440    17.895   pearl.jpg
divisive/pca/rgb     338.13    22.84     8.802    19.939   starry.jpg
divisive/pca/rgb*     289.24    23.82     7.181    16.172   [MEAN over 6, 1429ms]

divisive/pca/oklab     398.20    22.13     7.558    17.595   athens.jpg
divisive/pca/oklab     323.56    23.03     7.383    16.490   liberty.jpg
divisive/pca/oklab     121.31    27.29     6.897    14.051   monet.jpg
divisive/pca/oklab     289.89    23.51     7.041    13.789   napoleon.jpg
divisive/pca/oklab     274.43    23.75     6.460    17.829   pearl.jpg
divisive/pca/oklab     339.38    22.82     8.887    20.172   starry.jpg
divisive/pca/oklab*     291.13    23.76     7.371    16.654   [MEAN over 6, 1518ms]

kmeans/random/rgb/i10     368.20    22.47     7.649    16.307   athens.jpg
kmeans/random/rgb/i10     307.30    23.26     7.301    16.866   liberty.jpg
kmeans/random/rgb/i10     108.23    27.79     5.964    11.268   monet.jpg
