# Cross-plane crack coding at 3840x2160: every wall-coder variant priced on the identical published partitions.
#
# base = the published caeBytes. noCross = Hz stripped of its four V taps. baseFix = the published coder with its non-causal tap repaired (see report 09 result 3). hzFirst = code the Hz plane first. interVH / interHV = interleave both planes in one scan. interAsym = interVH with an 8/12 context budget. base12 / inter12 = extra capacity controls.
#
# command : labx wallx (code/lab/crossplane.go)
# Two independent runs agree on every number; only the wall-clock comment differs.
#
# note base: base: Hz context tap {1 1 0} is not causal under this schedule
# note base12: base12: Hz context tap {1 1 0} is not causal under this schedule
# /private/tmp/claude-501/-Users-noelruault-go-src-github-com-noelruault/23e7d4b1-17da-4b78-8110-6154f88a8011/scratchpad/hd/src4k.png 3840x2160 — wall coder variants on identical partitions
#   base      ctx 10/10 bits — published caeBytes; Hz reads Hz(x+1,y), which is not causal
#   noCross   ctx 10/10 bits — Hz loses its four V taps: what the existing cross-plane conditioning is worth
#   baseFix   ctx 10/10 bits — baseline with the non-causal Hz(x+1,y) tap swapped for V(x+1,y)
#   hzFirst   ctx 10/10 bits — planes swapped: Hz alone first, then V with both its vertices' Hz members
#   interVH   ctx 10/10 bits — one scan, V then Hz per pixel: V completes its upper vertex, Hz loses its lower one
#   interHV   ctx 10/10 bits — one scan, Hz then V per pixel: V also gets Hz(x,y); Hz keeps only two V taps
#   base12    ctx 12/12 bits — baseline plus two own-plane taps each: capacity control, no new cross-plane information
#   baseAsym  ctx 12/8 bits — twoPassV with a 12-bit V context and an 8-bit Hz context, fully causal
#   interAsym ctx 8/12 bits — interVH with an 8-bit V context and a 12-bit Hz context — same model count as baseAsym
#   inter12   ctx 12/12 bits — interVH with twelve taps per plane
regions        crack     psnr        base     noCross     baseFix     hzFirst     interVH     interHV      base12    baseAsym   interAsym     inter12   | per-plane bytes (V/Hz) per variant
3380956     10817374    53.37     1188279     1630558     1349428     1352915     1339524     1339978     1177386     1360191     1337775     1322902   | 803832/384447 803832/826726 803832/545596 526189/826726 532666/806858 533043/806935 799992/377394 799992/560199 541316/796460 526442/796460
2005132      8126384    47.97     1095834     1658851     1246068     1250801     1219215     1220476     1088553     1250981     1217115     1206152   | 816350/279484 816350/842501 816350/429718 408300/842501 418658/800557 418351/802125 811850/276704 811850/439132 425453/791662 414490/791662
1189921      5826291    43.70      880981     1396151      993550      999385      960119      960874      876116      993913      957554      950726   | 687068/193914 687068/709083 687068/306482 290302/709083 298744/661375 297399/663474 682096/194020 682096/311817 303295/654259 296467/654259
710144       4225540    40.42      691767     1141828      779586      785944      746839      747676      688760      778449      743649      739293   | 562818/128950 562818/579010 562818/216768 206933/579010 215094/531745 212776/534901 558470/130290 558470/219979 217653/525995 213298/525995
423771       3174037    37.85      546225      948152      617236      625537      584495      585766      544564      616085      580402      577468   | 467549/78675 467549/480603 467549/149687 144934/480603 154066/430429 150984/434782 464117/80447 464117/151968 155452/424949 152519/424949
255860       2414900    35.80      426563      777074      483395      493117      452789      454102      425262      482093      448067      446302   | 383145/43418 383145/393929 383145/100250 99188/393929 109275/343514 106059/348043 380064/45199 380064/102030 110005/338063 108240/338063
156860       1882863    34.14      340505      644254      384650      394258      355988      357186      339357      383214      351379      350813   | 317803/22702 317803/326451 317803/66847 67807/326451 77779/278209 74795/282392 314957/24400 314957/68257 77966/273413 77401/273413
96359        1491273    32.74      276163      535957      309080      318221      282113      283139      275101      307519      278130      278413   | 264231/11933 264231/271726 264231/44850 46495/271726 54601/227513 52085/231054 261611/13490 261611/45908 54413/223717 54696/223717
58506        1194857    31.56      227270      448799      250375      258913      224884      225891      226226      248721      221647      222307   | 220922/6348 220922/227877 220922/29453 31036/227877 37081/187803 35167/190724 218513/7713 218513/30207 36767/184880 37428/184880
33964         944544    30.46      184194      368308      199221      207154      175643      176687      183044      197389      173118      173861   | 180837/3357 180837/187471 180837/18384 19683/187471 23596/152046 22268/154419 178567/4477 178567/18822 23269/149849 24011/149849
19338         746605    29.44      148233      299524      157505      165022      136337      137408      146987      155592      134280      134963   | 146448/1785 146448/153076 146448/11057 11946/153076 14229/122108 13382/124025 144337/2651 144337/11256 13928/120352 14611/120352
11121         603086    28.51      121047      246460      126583      133594      107577      108659      119733      124677      105752      106327   | 120028/1019 120028/126431 120028/6555 7163/126431 8437/99140 7907/100752 118066/1666 118066/6611 8161/97591 8736/97591
6417          476863    27.50       96087      197004       99397      105783       83131       84240       94741       97566       81522       81952   | 95458/628 95458/101545 95458/3939 4238/101545 4959/78172 4635/79605 93655/1086 93655/3911 4728/76794 5158/76794
3794          393410    26.63       79177      163132       81267       86992       67007       68132       77917       79641       65501       65824   | 78767/410 78767/84365 78767/2500 2627/84365 3029/63978 2813/65319 77183/733 77183/2457 2843/62658 3166/62658
2274          326360    25.76       65840      136058       67227       72267       54835       55912       64629       65724       53478       53720   | 65542/298 65542/70516 65542/1685 1751/70516 1970/52865 1847/54065 64090/539 64090/1634 1827/51650 2070/51650
1383          274890    24.99       55565      115327       56535       61251       45901       46882       54435       55154       44726       44935   | 55333/232 55333/59994 55333/1202 1257/59994 1377/44524 1307/45575 54006/429 54006/1148 1251/43474 1460/43474
849           232086    24.25       47181       98157       47850       52072       38727       39608       46193       46622       37728       37927   | 46985/197 46985/51173 46985/865 899/51173 982/37745 937/38671 45827/367 45827/795 865/36863 1064/36863
